uid,lat_origin,lng_origin,cluster_origin,cluster_origin_lat,cluster_origin_lng,datetime,month,day,day_of_week,hour_in_day,minute_in_hour,timedelta,dest_lat,dest_lng,cluster_dest,cluster_dest_lat,cluster_dest_lng
004,39.999047250000004,116.32696974999999,0,39.9996055,116.32686100000001,2008-10-28 15:44:52+08:00,10,28,1,15,44,169.3,39.991891,116.32528400000001,0,39.9996055,116.32686100000001
004,39.991891,116.32528400000001,0,39.9996055,116.32686100000001,2008-10-29 15:09:23+08:00,10,29,2,15,9,140.71666666666667,39.999991,116.327028,0,39.9996055,116.32686100000001
004,39.999991,116.327028,0,39.9996055,116.32686100000001,2008-10-30 09:52:47+08:00,10,30,3,9,52,111.36666666666666,39.999874500000004,116.32647499999999,0,39.9996055,116.32686100000001
004,39.999874500000004,116.32647499999999,0,39.9996055,116.32686100000001,2008-10-30 12:20:28+08:00,10,30,3,12,20,126.28333333333333,39.999599,116.3270955,0,39.9996055,116.32686100000001
004,39.999599,116.3270955,0,39.9996055,116.32686100000001,2008-10-30 15:18:29+08:00,10,30,3,15,18,73.51666666666667,40.000185,116.326537,0,39.9996055,116.32686100000001
004,40.000185,116.326537,0,39.9996055,116.32686100000001,2008-10-31 10:13:00+08:00,10,31,4,10,13,93.46666666666667,40.0058075,116.3253435,0,39.9996055,116.32686100000001
004,40.0058075,116.3253435,0,39.9996055,116.32686100000001,2008-10-31 11:57:58+08:00,10,31,4,11,57,78.81666666666666,39.999957,116.32658875,0,39.9996055,116.32686100000001
004,39.999072,116.32675,0,39.9996055,116.32686100000001,2008-11-01 13:18:20+08:00,11,1,5,13,18,262.6,39.990558,116.334058,0,39.9996055,116.32686100000001
004,39.990558,116.334058,0,39.9996055,116.32686100000001,2008-11-01 17:49:36+08:00,11,1,5,17,49,63.06666666666667,40.00071675,116.3269925,0,39.9996055,116.32686100000001
004,39.999872,116.327084,0,39.9996055,116.32686100000001,2008-11-03 14:15:07+08:00,11,3,0,14,15,133.6,40.011604,116.321624,6,40.009533250000004,116.32199324999999
004,40.011604,116.321624,6,40.009533250000004,116.32199324999999,2008-11-04 01:02:01+08:00,11,4,1,1,2,482.75,40.010374,116.32078975,6,40.009533250000004,116.32199324999999
004,40.010374,116.32078975,6,40.009533250000004,116.32199324999999,2008-11-05 03:22:01+08:00,11,5,2,3,22,290.0,39.9998095,116.32557675,0,39.9996055,116.32686100000001
004,39.9998095,116.32557675,0,39.9996055,116.32686100000001,2008-11-05 08:24:56+08:00,11,5,2,8,24,164.11666666666667,40.0000775,116.3273725,0,39.9996055,116.32686100000001
004,40.0000775,116.3273725,0,39.9996055,116.32686100000001,2008-11-05 14:09:48+08:00,11,5,2,14,9,61.88333333333333,40.0007285,116.32392150000001,0,39.9996055,116.32686100000001
004,39.999914,116.326698,0,39.9996055,116.32686100000001,2008-11-07 10:04:52+08:00,11,7,4,10,4,87.26666666666667,40.000015,116.325573,0,39.9996055,116.32686100000001
004,40.0096045,116.323415,6,40.009533250000004,116.32199324999999,2008-11-10 03:16:21+08:00,11,10,0,3,16,362.53333333333336,40.00014125,116.32550549999999,0,39.9996055,116.32686100000001
004,40.00014125,116.32550549999999,0,39.9996055,116.32686100000001,2008-11-10 09:22:03+08:00,11,10,0,9,22,169.36666666666667,40.009750499999996,116.322553,6,40.009533250000004,116.32199324999999
004,40.009750499999996,116.322553,6,40.009533250000004,116.32199324999999,2008-11-10 12:15:45+08:00,11,10,0,12,15,242.76666666666668,39.999888,116.32695100000001,0,39.9996055,116.32686100000001
004,39.999888,116.32695100000001,0,39.9996055,116.32686100000001,2008-11-10 16:23:11+08:00,11,10,0,16,23,89.35,39.999869,116.327168,0,39.9996055,116.32686100000001
004,39.999869,116.327168,0,39.9996055,116.32686100000001,2008-11-11 10:50:07+08:00,11,11,1,10,50,79.41666666666667,40.00057775,116.32702475,0,39.9996055,116.32686100000001
004,40.00057775,116.32702475,0,39.9996055,116.32686100000001,2008-11-11 12:44:47+08:00,11,11,1,12,44,141.05,39.999135499999994,116.32693599999999,0,39.9996055,116.32686100000001
004,39.999135499999994,116.32693599999999,0,39.9996055,116.32686100000001,2008-11-11 15:57:38+08:00,11,11,1,15,57,136.06666666666666,40.000646,116.325551,0,39.9996055,116.32686100000001
004,40.000646,116.325551,0,39.9996055,116.32686100000001,2008-11-12 15:15:06+08:00,11,12,2,15,15,145.2,40.0030375,116.3224115,0,39.9996055,116.32686100000001
004,40.011089,116.321918,6,40.009533250000004,116.32199324999999,2008-11-14 06:12:39+08:00,11,14,4,6,12,267.48333333333335,40.00593225,116.324876,0,39.9996055,116.32686100000001
004,40.00593225,116.324876,0,39.9996055,116.32686100000001,2008-11-14 11:53:04+08:00,11,14,4,11,53,93.16666666666667,39.999862,116.327193,0,39.9996055,116.32686100000001
004,39.9998885,116.327,0,39.9996055,116.32686100000001,2008-11-15 16:05:45+08:00,11,15,5,16,5,121.15,39.99056,116.333962,0,39.9996055,116.32686100000001
004,39.99056,116.333962,0,39.9996055,116.32686100000001,2008-11-15 18:18:44+08:00,11,15,5,18,18,62.3,39.999946,116.32728,0,39.9996055,116.32686100000001
004,39.999946,116.32728,0,39.9996055,116.32686100000001,2008-11-18 16:26:38+08:00,11,18,1,16,26,116.63333333333334,39.99939075,116.32681149999999,0,39.9996055,116.32686100000001
004,39.99939075,116.32681149999999,0,39.9996055,116.32686100000001,2008-11-18 19:42:05+08:00,11,18,1,19,42,68.88333333333334,39.999469,116.32689775,0,39.9996055,116.32686100000001
004,39.999469,116.32689775,0,39.9996055,116.32686100000001,2008-11-19 14:55:27+08:00,11,19,2,14,55,182.93333333333334,39.999879,116.327239,0,39.9996055,116.32686100000001
004,39.999879,116.327239,0,39.9996055,116.32686100000001,2008-11-20 08:24:26+08:00,11,20,3,8,24,218.56666666666666,40.000757,116.326893,0,39.9996055,116.32686100000001
004,40.000757,116.326893,0,39.9996055,116.32686100000001,2008-11-20 12:33:39+08:00,11,20,3,12,33,320.3333333333333,40.000752,116.3245275,0,39.9996055,116.32686100000001
004,40.000752,116.3245275,0,39.9996055,116.32686100000001,2008-11-20 18:34:09+08:00,11,20,3,18,34,245.33333333333334,40.005846,116.325625,0,39.9996055,116.32686100000001
004,40.005846,116.325625,0,39.9996055,116.32686100000001,2008-11-21 11:53:08+08:00,11,21,4,11,53,81.61666666666666,39.999914,116.327131,0,39.9996055,116.32686100000001
004,39.999914,116.327131,0,39.9996055,116.32686100000001,2008-11-21 13:18:35+08:00,11,21,4,13,18,71.66666666666667,39.99906375,116.32720425,0,39.9996055,116.32686100000001
004,40.009637,116.3231725,6,40.009533250000004,116.32199324999999,2008-12-01 02:14:35+08:00,12,1,0,2,14,337.05,39.9999385,116.32599400000001,0,39.9996055,116.32686100000001
004,39.9999385,116.32599400000001,0,39.9996055,116.32686100000001,2008-12-01 07:56:58+08:00,12,1,0,7,56,230.0,40.008925500000004,116.3241345,6,40.009533250000004,116.32199324999999
004,40.008925500000004,116.3241345,6,40.009533250000004,116.32199324999999,2008-12-01 11:50:58+08:00,12,1,0,11,50,201.8,40.00069425,116.3251325,0,39.9996055,116.32686100000001
004,40.00069425,116.3251325,0,39.9996055,116.32686100000001,2008-12-01 15:14:56+08:00,12,1,0,15,14,142.61666666666667,40.00960325,116.323017,6,40.009533250000004,116.32199324999999
004,40.00960325,116.323017,6,40.009533250000004,116.32199324999999,2008-12-02 00:43:31+08:00,12,2,1,0,43,360.06666666666666,39.9998955,116.3269115,0,39.9996055,116.32686100000001
004,39.9998955,116.3269115,0,39.9996055,116.32686100000001,2008-12-02 10:27:33+08:00,12,2,1,10,27,88.88333333333334,39.99928,116.3269325,0,39.9996055,116.32686100000001
004,39.99928,116.3269325,0,39.9996055,116.32686100000001,2008-12-02 12:58:47+08:00,12,2,1,12,58,278.65,40.000488,116.32679,0,39.9996055,116.32686100000001
004,40.000488,116.32679,0,39.9996055,116.32686100000001,2008-12-03 08:37:17+08:00,12,3,2,8,37,68.06666666666666,39.999049,116.326473,0,39.9996055,116.32686100000001
004,39.999049,116.326473,0,39.9996055,116.32686100000001,2008-12-03 13:38:08+08:00,12,3,2,13,38,271.53333333333336,39.999907,116.327263,0,39.9996055,116.32686100000001
004,40.000208,116.32705050000001,0,39.9996055,116.32686100000001,2008-12-05 15:07:51+08:00,12,5,4,15,7,138.81666666666666,39.991706,116.326349,0,39.9996055,116.32686100000001
004,39.991706,116.326349,0,39.9996055,116.32686100000001,2008-12-07 14:37:57+08:00,12,7,6,14,37,125.66666666666667,40.0022515,116.326605,0,39.9996055,116.32686100000001
004,40.0022515,116.326605,0,39.9996055,116.32686100000001,2008-12-07 17:09:45+08:00,12,7,6,17,9,125.11666666666666,39.991161,116.32322300000001,0,39.9996055,116.32686100000001
004,39.991161,116.32322300000001,0,39.9996055,116.32686100000001,2008-12-07 19:48:22+08:00,12,7,6,19,48,84.96666666666667,39.99878925,116.32691825,0,39.9996055,116.32686100000001
004,39.99878925,116.32691825,0,39.9996055,116.32686100000001,2008-12-08 09:45:26+08:00,12,8,0,9,45,121.7,39.998173,116.3267385,0,39.9996055,116.32686100000001
004,39.998173,116.3267385,0,39.9996055,116.32686100000001,2008-12-08 13:20:47+08:00,12,8,0,13,20,76.98333333333333,39.999341,116.32720625,0,39.9996055,116.32686100000001
004,39.999341,116.32720625,0,39.9996055,116.32686100000001,2008-12-09 13:06:37+08:00,12,9,1,13,6,139.8,39.9999215,116.3273875,0,39.9996055,116.32686100000001
004,39.9999215,116.3273875,0,39.9996055,116.32686100000001,2008-12-09 16:13:44+08:00,12,9,1,16,13,219.38333333333333,39.99948525,116.32723175000001,0,39.9996055,116.32686100000001
004,39.99948525,116.32723175000001,0,39.9996055,116.32686100000001,2008-12-10 10:00:02+08:00,12,10,2,10,0,104.93333333333334,40.010264,116.32220849999999,6,40.009533250000004,116.32199324999999
004,40.010264,116.32220849999999,6,40.009533250000004,116.32199324999999,2008-12-10 18:41:23+08:00,12,10,2,18,41,113.06666666666666,39.99982175,116.32674075,0,39.9996055,116.32686100000001
004,39.99982175,116.32674075,0,39.9996055,116.32686100000001,2008-12-10 20:42:57+08:00,12,10,2,20,42,71.55,40.0004555,116.325842,0,39.9996055,116.32686100000001
004,40.0004555,116.325842,0,39.9996055,116.32686100000001,2008-12-12 10:08:46+08:00,12,12,4,10,8,83.93333333333334,40.005967,116.325676,0,39.9996055,116.32686100000001
004,40.005967,116.325676,0,39.9996055,116.32686100000001,2008-12-12 11:52:54+08:00,12,12,4,11,52,89.1,39.9999415,116.32687125,0,39.9996055,116.32686100000001
004,39.9999415,116.32687125,0,39.9996055,116.32686100000001,2008-12-12 13:45:12+08:00,12,12,4,13,45,251.21666666666667,39.999637,116.326973,0,39.9996055,116.32686100000001
004,39.999637,116.326973,0,39.9996055,116.32686100000001,2008-12-13 12:31:20+08:00,12,13,5,12,31,334.68333333333334,39.999859,116.327296,0,39.9996055,116.32686100000001
004,39.999859,116.327296,0,39.9996055,116.32686100000001,2008-12-14 13:05:38+08:00,12,14,6,13,5,126.76666666666667,39.999935,116.32735600000001,0,39.9996055,116.32686100000001
004,39.998903,116.326738,0,39.9996055,116.32686100000001,2008-12-16 09:38:07+08:00,12,16,1,9,38,140.31666666666666,39.999881,116.32706,0,39.9996055,116.32686100000001
004,39.999881,116.32706,0,39.9996055,116.32686100000001,2008-12-16 12:29:54+08:00,12,16,1,12,29,298.95,40.000179,116.32612499999999,0,39.9996055,116.32686100000001
004,39.999435,116.32676824999999,0,39.9996055,116.32686100000001,2008-12-17 12:37:25+08:00,12,17,2,12,37,62.0,40.000322999999995,116.3255825,0,39.9996055,116.32686100000001
004,40.000322999999995,116.3255825,0,39.9996055,116.32686100000001,2008-12-18 08:59:03+08:00,12,18,3,8,59,196.45,40.00955,116.323219,6,40.009533250000004,116.32199324999999
004,40.00955,116.323219,6,40.009533250000004,116.32199324999999,2008-12-18 13:47:55+08:00,12,18,3,13,47,66.25,40.00074275,116.32721774999999,0,39.9996055,116.32686100000001
004,40.00074275,116.32721774999999,0,39.9996055,116.32686100000001,2008-12-18 14:57:35+08:00,12,18,3,14,57,201.5,40.00003,116.327095,0,39.9996055,116.32686100000001
004,40.00003,116.327095,0,39.9996055,116.32686100000001,2008-12-19 08:46:56+08:00,12,19,4,8,46,177.51666666666668,40.005848,116.325478,0,39.9996055,116.32686100000001
004,40.005848,116.325478,0,39.9996055,116.32686100000001,2008-12-19 12:00:32+08:00,12,19,4,12,0,86.26666666666667,39.999954,116.326279,0,39.9996055,116.32686100000001
004,39.999954,116.326279,0,39.9996055,116.32686100000001,2008-12-19 13:29:23+08:00,12,19,4,13,29,242.28333333333333,40.000529,116.327215,0,39.9996055,116.32686100000001
004,40.000529,116.327215,0,39.9996055,116.32686100000001,2008-12-19 18:07:15+08:00,12,19,4,18,7,209.8,39.999816,116.326937,0,39.9996055,116.32686100000001
004,39.999816,116.326937,0,39.9996055,116.32686100000001,2008-12-20 12:54:16+08:00,12,20,5,12,54,283.0833333333333,39.989846,116.334093,0,39.9996055,116.32686100000001
004,39.989846,116.334093,0,39.9996055,116.32686100000001,2008-12-20 17:49:16+08:00,12,20,5,17,49,61.516666666666666,39.999579,116.32693649999999,0,39.9996055,116.32686100000001
004,39.999579,116.32693649999999,0,39.9996055,116.32686100000001,2008-12-21 14:54:16+08:00,12,21,6,14,54,160.68333333333334,39.9926235,116.327217,0,39.9996055,116.32686100000001
004,39.9926235,116.327217,0,39.9996055,116.32686100000001,2008-12-21 17:41:22+08:00,12,21,6,17,41,60.3,39.99929,116.327309,0,39.9996055,116.32686100000001
004,39.99929,116.327309,0,39.9996055,116.32686100000001,2008-12-21 18:45:55+08:00,12,21,6,18,45,291.1666666666667,40.000146,116.32717,0,39.9996055,116.32686100000001
004,40.000146,116.32717,0,39.9996055,116.32686100000001,2008-12-24 09:35:33+08:00,12,24,2,9,35,146.06666666666666,40.010621,116.322787,6,40.009533250000004,116.32199324999999
004,40.010621,116.322787,6,40.009533250000004,116.32199324999999,2008-12-24 12:03:22+08:00,12,24,2,12,3,250.16666666666666,39.999959,116.3268845,0,39.9996055,116.32686100000001
004,39.999959,116.3268845,0,39.9996055,116.32686100000001,2008-12-26 13:26:10+08:00,12,26,4,13,26,267.4166666666667,39.99595875,116.326554,0,39.9996055,116.32686100000001
004,39.99595875,116.326554,0,39.9996055,116.32686100000001,2008-12-26 17:53:35+08:00,12,26,4,17,53,141.3,39.99929275,116.32698325000001,0,39.9996055,116.32686100000001
004,39.99929275,116.32698325000001,0,39.9996055,116.32686100000001,2008-12-31 13:15:47+08:00,12,31,2,13,15,283.4,40.0000155,116.3272885,0,39.9996055,116.32686100000001
004,40.0000155,116.3272885,0,39.9996055,116.32686100000001,2009-01-01 15:49:06+08:00,1,1,3,15,49,113.08333333333333,40.003249,116.32606025,0,39.9996055,116.32686100000001
004,40.003249,116.32606025,0,39.9996055,116.32686100000001,2009-01-04 15:50:58+08:00,1,4,6,15,50,95.65,40.009616,116.322649,6,40.009533250000004,116.32199324999999
004,40.009616,116.322649,6,40.009533250000004,116.32199324999999,2009-01-04 17:34:07+08:00,1,4,6,17,34,97.9,39.999872499999995,116.32708650000001,0,39.9996055,116.32686100000001
004,39.999872499999995,116.32708650000001,0,39.9996055,116.32686100000001,2009-01-05 09:54:08+08:00,1,5,0,9,54,127.88333333333334,40.000279,116.327556,0,39.9996055,116.32686100000001
004,40.000279,116.327556,0,39.9996055,116.32686100000001,2009-01-05 12:39:00+08:00,1,5,0,12,39,103.55,40.0002975,116.32683750000001,0,39.9996055,116.32686100000001
004,40.0002975,116.32683750000001,0,39.9996055,116.32686100000001,2009-01-05 15:20:58+08:00,1,5,0,15,20,152.21666666666667,39.999081000000004,116.325714,0,39.9996055,116.32686100000001
004,39.999081000000004,116.325714,0,39.9996055,116.32686100000001,2009-01-06 14:56:34+08:00,1,6,1,14,56,238.38333333333333,40.0093425,116.320472,6,40.009533250000004,116.32199324999999
004,40.0093425,116.320472,6,40.009533250000004,116.32199324999999,2009-01-06 19:00:27+08:00,1,6,1,19,0,89.4,40.002568,116.326216,0,39.9996055,116.32686100000001
004,40.002568,116.326216,0,39.9996055,116.32686100000001,2009-01-06 20:48:05+08:00,1,6,1,20,48,77.95,39.999805,116.327177,0,39.9996055,116.32686100000001
004,39.999805,116.327177,0,39.9996055,116.32686100000001,2009-01-07 10:01:59+08:00,1,7,2,10,1,127.06666666666666,39.999908,116.3274,0,39.9996055,116.32686100000001
004,39.999908,116.3274,0,39.9996055,116.32686100000001,2009-01-07 13:39:37+08:00,1,7,2,13,39,259.3833333333333,40.010242500000004,116.322007,6,40.009533250000004,116.32199324999999
004,40.010242500000004,116.322007,6,40.009533250000004,116.32199324999999,2009-01-08 02:41:49+08:00,1,8,3,2,41,344.53333333333336,39.999895,116.327371,0,39.9996055,116.32686100000001
004,39.999895,116.327371,0,39.9996055,116.32686100000001,2009-01-08 08:32:26+08:00,1,8,3,8,32,178.23333333333332,39.999088,116.32686325,0,39.9996055,116.32686100000001
004,39.999088,116.32686325,0,39.9996055,116.32686100000001,2009-01-09 16:33:17+08:00,1,9,4,16,33,64.7,39.999855,116.326917,0,39.9996055,116.32686100000001
004,39.999855,116.326917,0,39.9996055,116.32686100000001,2009-01-09 22:51:09+08:00,1,9,4,22,51,281.03333333333336,39.991652,116.331407,0,39.9996055,116.32686100000001
004,39.991652,116.331407,0,39.9996055,116.32686100000001,2009-01-10 16:56:46+08:00,1,10,5,16,56,61.43333333333333,39.999919500000004,116.3272975,0,39.9996055,116.32686100000001
004,39.999919500000004,116.3272975,0,39.9996055,116.32686100000001,2009-01-11 16:15:11+08:00,1,11,6,16,15,147.25,39.999888999999996,116.327042,0,39.9996055,116.32686100000001
004,39.999888999999996,116.327042,0,39.9996055,116.32686100000001,2009-01-12 10:35:42+08:00,1,12,0,10,35,202.53333333333333,39.999908000000005,116.3272805,0,39.9996055,116.32686100000001
004,39.999908000000005,116.3272805,0,39.9996055,116.32686100000001,2009-01-12 14:37:34+08:00,1,12,0,14,37,244.91666666666666,40.0102885,116.32218424999999,6,40.009533250000004,116.32199324999999
004,40.0102885,116.32218424999999,6,40.009533250000004,116.32199324999999,2009-01-13 04:06:21+08:00,1,13,1,4,6,308.8666666666667,39.999504,116.3275055,0,39.9996055,116.32686100000001
004,39.999504,116.3275055,0,39.9996055,116.32686100000001,2009-01-13 10:49:35+08:00,1,13,1,10,49,69.58333333333333,40.00005925000001,116.3272005,0,39.9996055,116.32686100000001
004,40.00005925000001,116.3272005,0,39.9996055,116.32686100000001,2009-01-13 15:40:06+08:00,1,13,1,15,40,131.31666666666666,40.000523,116.32697350000001,0,39.9996055,116.32686100000001
004,40.000523,116.32697350000001,0,39.9996055,116.32686100000001,2009-01-14 00:52:02+08:00,1,14,2,0,52,168.1,39.999809,116.327,0,39.9996055,116.32686100000001
004,39.999809,116.327,0,39.9996055,116.32686100000001,2009-01-14 16:26:47+08:00,1,14,2,16,26,70.2,39.999905999999996,116.3252865,0,39.9996055,116.32686100000001
004,39.999905999999996,116.3252865,0,39.9996055,116.32686100000001,2009-01-15 14:06:04+08:00,1,15,3,14,6,251.16666666666666,39.99983575,116.32650375,0,39.9996055,116.32686100000001
004,39.99983575,116.32650375,0,39.9996055,116.32686100000001,2009-01-15 19:00:41+08:00,1,15,3,19,0,225.86666666666667,39.999855499999995,116.327017,0,39.9996055,116.32686100000001
004,39.999855499999995,116.327017,0,39.9996055,116.32686100000001,2009-01-16 06:14:00+08:00,1,16,4,6,14,137.4,39.999856,116.327192,0,39.9996055,116.32686100000001
004,39.999856,116.327192,0,39.9996055,116.32686100000001,2009-01-16 08:50:04+08:00,1,16,4,8,50,85.61666666666666,39.999905999999996,116.3270755,0,39.9996055,116.32686100000001
004,39.999905999999996,116.3270755,0,39.9996055,116.32686100000001,2009-01-16 10:33:44+08:00,1,16,4,10,33,78.33333333333333,40.006221999999994,116.3256425,0,39.9996055,116.32686100000001
004,40.006221999999994,116.3256425,0,39.9996055,116.32686100000001,2009-01-16 11:55:04+08:00,1,16,4,11,55,90.23333333333333,40.009468999999996,116.322104,6,40.009533250000004,116.32199324999999
004,40.009468999999996,116.322104,6,40.009533250000004,116.32199324999999,2009-01-16 13:26:23+08:00,1,16,4,13,26,150.65,39.999778,116.327377,0,39.9996055,116.32686100000001
004,39.999778,116.327377,0,39.9996055,116.32686100000001,2009-01-16 16:09:10+08:00,1,16,4,16,9,89.5,40.0112635,116.32360349999999,6,40.009533250000004,116.32199324999999
004,40.0112635,116.32360349999999,6,40.009533250000004,116.32199324999999,2009-01-19 21:30:48+08:00,1,19,0,21,30,100.16666666666667,40.00057150000001,116.3268545,0,39.9996055,116.32686100000001
004,40.00023,116.327391,0,39.9996055,116.32686100000001,2009-02-13 12:06:28+08:00,2,13,4,12,6,75.75,39.9912395,116.328268,0,39.9996055,116.32686100000001
004,39.9912395,116.328268,0,39.9996055,116.32686100000001,2009-02-14 12:54:43+08:00,2,14,5,12,54,148.48333333333332,39.999731,116.32673349999999,0,39.9996055,116.32686100000001
004,39.999731,116.32673349999999,0,39.9996055,116.32686100000001,2009-02-14 15:32:42+08:00,2,14,5,15,32,79.25,39.991716,116.333152,0,39.9996055,116.32686100000001
004,39.991716,116.333152,0,39.9996055,116.32686100000001,2009-02-14 18:28:36+08:00,2,14,5,18,28,102.8,39.989976,116.329905,0,39.9996055,116.32686100000001
004,39.989976,116.329905,0,39.9996055,116.32686100000001,2009-02-14 20:11:24+08:00,2,14,5,20,11,96.5,39.998076499999996,116.32688200000001,0,39.9996055,116.32686100000001
004,39.998076499999996,116.32688200000001,0,39.9996055,116.32686100000001,2009-02-14 21:56:54+08:00,2,14,5,21,56,179.56666666666666,39.989546000000004,116.329684,0,39.9996055,116.32686100000001
004,39.989546000000004,116.329684,0,39.9996055,116.32686100000001,2009-02-15 16:27:55+08:00,2,15,6,16,27,103.81666666666666,39.992318,116.32762325,0,39.9996055,116.32686100000001
004,39.992318,116.32762325,0,39.9996055,116.32686100000001,2009-02-16 18:40:03+08:00,2,16,0,18,40,129.88333333333333,39.9996615,116.3272625,0,39.9996055,116.32686100000001
004,39.9996615,116.3272625,0,39.9996055,116.32686100000001,2009-02-17 21:27:21+08:00,2,17,1,21,27,90.41666666666667,40.000289,116.325485,0,39.9996055,116.32686100000001
004,39.999806,116.327282,0,39.9996055,116.32686100000001,2009-02-19 13:40:37+08:00,2,19,3,13,40,223.73333333333332,40.009716499999996,116.322739,6,40.009533250000004,116.32199324999999
004,40.009716499999996,116.322739,6,40.009533250000004,116.32199324999999,2009-02-19 17:43:36+08:00,2,19,3,17,43,71.7,40.000466,116.32851,0,39.9996055,116.32686100000001
004,40.000466,116.32851,0,39.9996055,116.32686100000001,2009-02-20 10:31:40+08:00,2,20,4,10,31,88.13333333333334,40.00003925,116.32676025,0,39.9996055,116.32686100000001
004,40.00003925,116.32676025,0,39.9996055,116.32686100000001,2009-02-20 13:05:07+08:00,2,20,4,13,5,249.9,40.009089,116.32258350000001,6,40.009533250000004,116.32199324999999
004,40.009089,116.32258350000001,6,40.009533250000004,116.32199324999999,2009-02-21 08:00:20+08:00,2,21,5,8,0,97.03333333333333,39.999982,116.32557775000001,0,39.9996055,116.32686100000001
004,39.999982,116.32557775000001,0,39.9996055,116.32686100000001,2009-02-21 09:40:12+08:00,2,21,5,9,40,89.76666666666667,39.763149,116.296274,16,39.7627155,116.298148
004,39.763149,116.296274,16,39.7627155,116.298148,2009-02-21 12:41:00+08:00,2,21,5,12,41,264.76666666666665,39.994069499999995,116.32741375,0,39.9996055,116.32686100000001
004,39.994069499999995,116.32741375,0,39.9996055,116.32686100000001,2009-02-21 18:18:46+08:00,2,21,5,18,18,95.2,39.9994175,116.32703275,0,39.9996055,116.32686100000001
004,39.9994175,116.32703275,0,39.9996055,116.32686100000001,2009-02-21 20:27:13+08:00,2,21,5,20,27,354.25,39.9998675,116.325678,0,39.9996055,116.32686100000001
004,39.9998675,116.325678,0,39.9996055,116.32686100000001,2009-02-22 13:28:59+08:00,2,22,6,13,28,240.98333333333332,40.001523,116.32158,0,39.9996055,116.32686100000001
004,40.001523,116.32158,0,39.9996055,116.32686100000001,2009-02-23 14:13:10+08:00,2,23,0,14,13,183.91666666666666,39.991426000000004,116.329222,0,39.9996055,116.32686100000001
004,39.991426000000004,116.329222,0,39.9996055,116.32686100000001,2009-02-25 19:57:16+08:00,2,25,2,19,57,71.56666666666666,39.999925,116.32578749999999,0,39.9996055,116.32686100000001
004,39.999925,116.32578749999999,0,39.9996055,116.32686100000001,2009-02-26 09:12:26+08:00,2,26,3,9,12,124.78333333333333,39.762705,116.297177,16,39.7627155,116.298148
004,39.762705,116.297177,16,39.7627155,116.298148,2009-02-26 12:44:05+08:00,2,26,3,12,44,165.61666666666667,39.999938,116.327343,0,39.9996055,116.32686100000001
004,39.999938,116.327343,0,39.9996055,116.32686100000001,2009-02-26 18:09:52+08:00,2,26,3,18,9,83.45,39.991575,116.32796,0,39.9996055,116.32686100000001
004,39.991575,116.32796,0,39.9996055,116.32686100000001,2009-02-26 19:38:39+08:00,2,26,3,19,38,106.48333333333333,39.999292,116.326954,0,39.9996055,116.32686100000001
004,39.999292,116.326954,0,39.9996055,116.32686100000001,2009-02-26 21:46:23+08:00,2,26,3,21,46,324.9166666666667,39.999951,116.326668,0,39.9996055,116.32686100000001
004,39.999951,116.326668,0,39.9996055,116.32686100000001,2009-02-27 09:53:23+08:00,2,27,4,9,53,110.13333333333334,40.00589825,116.32546925,0,39.9996055,116.32686100000001
004,40.00589825,116.32546925,0,39.9996055,116.32686100000001,2009-02-27 11:56:35+08:00,2,27,4,11,56,86.13333333333334,39.999812,116.327021,0,39.9996055,116.32686100000001
004,39.999812,116.327021,0,39.9996055,116.32686100000001,2009-02-27 13:25:23+08:00,2,27,4,13,25,87.88333333333334,39.999784000000005,116.32728499999999,0,39.9996055,116.32686100000001
004,39.999784000000005,116.32728499999999,0,39.9996055,116.32686100000001,2009-02-27 18:08:17+08:00,2,27,4,18,8,117.03333333333333,39.99326275,116.32701850000001,0,39.9996055,116.32686100000001
004,39.99326275,116.32701850000001,0,39.9996055,116.32686100000001,2009-02-27 20:38:29+08:00,2,27,4,20,38,142.28333333333333,40.0093625,116.31589650000001,17,40.009508749999995,116.315967
